customer_zip_code_prefix,item_count,unique_products,unique_sellers,total_price,total_freight,payment_count,total_payment,product_count,missing_product_category,seller_count,seller_states,category_count,geo_lat,geo_lng,geo_city_count,geo_state_count,purchase_year,purchase_month,purchase_dayofweek,purchase_hour,approval_delay_hours,estimated_delivery_month,customer_city_frequency,customer_state_AC,customer_state_AL,customer_state_AM,customer_state_AP,customer_state_BA,customer_state_CE,customer_state_DF,customer_state_ES,customer_state_GO,customer_state_MA,customer_state_MG,customer_state_MS,customer_state_MT,customer_state_PA,customer_state_PB,customer_state_PE,customer_state_PI,customer_state_PR,customer_state_RJ,customer_state_RN,customer_state_RO,customer_state_RR,customer_state_RS,customer_state_SC,customer_state_SE,customer_state_SP,customer_state_TO,payment_types_boleto,payment_types_credit_card,"payment_types_credit_card, debit_card","payment_types_credit_card, voucher",payment_types_debit_card,payment_types_voucher,"payment_types_voucher, credit_card"
20261,1.0,1.0,1.0,120.0,23.38,1.0,143.38,1.0,0.0,1.0,1.0,1.0,-22.92401542829238,-43.213547671608914,1.0,1.0,2018,4,1,0,0.22527777777777777,6,0.06870816797962448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12929,1.0,1.0,1.0,114.9,7.67,1.0,122.57,1.0,0.0,1.0,1.0,1.0,-22.93195334182427,-46.52404281144618,2.0,1.0,2018,6,0,23,0.15055555555555555,6,0.0015103950719658828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1328,1.0,1.0,1.0,66.99,27.75,1.0,94.74,1.0,0.0,1.0,1.0,1.0,-23.555992686485013,-46.64679480230547,2.0,1.0,2018,7,0,20,0.1836111111111111,7,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
50630,1.0,1.0,1.0,99.0,32.61,1.0,131.61,1.0,0.0,1.0,1.0,1.0,-8.056559537327905,-34.922924143521314,1.0,1.0,2018,4,2,16,0.4225,5,0.005967541313747556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11432,2.0,1.0,1.0,59.8,14.94,1.0,74.74,1.0,0.0,1.0,1.0,1.0,-23.98761401331361,-46.2703660822602,2.0,1.0,2018,8,2,21,0.1802777777777778,8,0.0023988627613575784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11055,1.0,1.0,1.0,49.9,12.79,1.0,62.69,1.0,0.0,1.0,1.0,1.0,-23.965733873195106,-46.32872174420308,1.0,1.0,2018,4,4,22,0.22111111111111112,4,0.007403897411597465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18020,1.0,1.0,1.0,50.0,11.85,1.0,61.85,1.0,0.0,1.0,1.0,1.0,-23.506818689006565,-47.44565113471125,1.0,1.0,2017,11,2,21,30.182222222222222,12,0.006411775158443405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5835,1.0,1.0,1.0,69.9,15.59,1.0,85.49,1.0,0.0,1.0,1.0,1.0,-23.650255848591343,-46.75372470475791,2.0,1.0,2018,7,0,8,41.97638888888889,8,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
15170,1.0,1.0,1.0,149.0,14.06,1.0,163.06,1.0,0.0,1.0,1.0,1.0,-20.623521591055777,-49.65195844976547,1.0,1.0,2018,1,3,21,0.16694444444444445,2,0.00011846235858555944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11060,1.0,1.0,1.0,135.0,19.05,1.0,154.05,1.0,0.0,1.0,1.0,1.0,-23.962573924300305,-46.33409872636013,1.0,1.0,2018,8,1,20,0.2061111111111111,8,0.007403897411597465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
78065,1.0,1.0,1.0,469.9,36.49,1.0,506.39,1.0,0.0,1.0,1.0,1.0,-15.617234435832986,-56.07769308038796,2.0,1.0,2017,4,6,19,21.634166666666665,5,0.0023396315820647987,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13848,1.0,1.0,1.0,27.7,7.78,1.0,35.48,1.0,0.0,1.0,1.0,1.0,-22.33978411439518,-46.924309679539405,3.0,1.0,2018,2,5,14,0.17722222222222223,3,0.0009625066635076705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
65068,1.0,1.0,1.0,388.0,32.13,1.0,420.13,1.0,0.0,1.0,1.0,1.0,-2.5091683348897456,-44.23168396750532,2.0,1.0,2017,7,4,11,0.2619444444444444,8,0.003583486347213173,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
