feature,importance
purchase_month,0.013428224529341448
purchase_year,0.011301774950754264
customer_state_SP,0.01057205833505129
total_freight,0.00894490588436322
geo_lng,0.0075863571108971215
customer_zip_code_prefix,0.00685317994346001
customer_state_RJ,0.005803369615669362
item_count,0.0022362938387137676
customer_state_MS,0.001294307419809762
customer_state_MA,0.0012427435114325328
geo_lat,0.0007103606602096232
customer_state_PE,0.0006232901454387346
customer_state_AP,0.00032223862011096087
unique_products,5.352939365918519e-06
seller_states,5.352939365918519e-06
geo_state_count,5.352939365918519e-06
customer_state_AC,0.0
product_count,0.0
customer_state_ES,0.0
customer_state_GO,0.0
category_count,0.0
missing_product_category,0.0
payment_count,0.0
seller_count,0.0
customer_state_PB,0.0
customer_state_PI,0.0
"payment_types_voucher, credit_card",0.0
"payment_types_credit_card, debit_card",0.0
payment_types_debit_card,0.0
"payment_types_credit_card, voucher",0.0
customer_state_RR,0.0
customer_state_RS,0.0
customer_state_SE,0.0
customer_state_TO,0.0
customer_state_RN,0.0
customer_state_RO,0.0
customer_state_PA,0.0
customer_state_MT,0.0
customer_state_BA,0.0
customer_state_AM,0.0
payment_types_boleto,-2.6808537446833258e-05
customer_state_DF,-0.00031635871652572616
customer_state_SC,-0.00032707336338101136
customer_state_CE,-0.00034877907218332503
geo_city_count,-0.0006146134169302764
customer_state_AL,-0.0006653878994304502
customer_state_PR,-0.0012630950433354313
unique_sellers,-0.0012868466235665787
payment_types_credit_card,-0.0012980877962350062
customer_city_frequency,-0.001534790560690328
payment_types_voucher,-0.0016085582794582234
purchase_dayofweek,-0.0017199954541726472
purchase_hour,-0.0022542035920994795
estimated_delivery_month,-0.0032889008649817633
approval_delay_hours,-0.004604024520765493
customer_state_MG,-0.005191376289322945
total_price,-0.012430266244888907
total_payment,-0.019836402784222384
